taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
4673706	0938172b-2086-439c-a1dd-c21cb0109ed5	4342	1323038		Campostigmacros McAreavey, 1957	McAreavey, 1957	Campostigmacros	Campostigmacros			genus		Mem. Natn. Mus. Vict. No. 21	synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Stigmacros
4673700	0938172b-2086-439c-a1dd-c21cb0109ed5	4342	1323038		Chariostigmacros McAreavey, 1957	McAreavey, 1957	Chariostigmacros	Chariostigmacros			genus		Mem. Natn. Mus. Vict. No. 21	synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Stigmacros
4673698	0938172b-2086-439c-a1dd-c21cb0109ed5	4342	1323038		Pseudostigmacros McAreavay, 1957	McAreavay, 1957	Pseudostigmacros	Pseudostigmacros			genus		Mem. Natn. Mus. Vict. No. 21	synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Stigmacros
4673696	0938172b-2086-439c-a1dd-c21cb0109ed5	4342	1323038		Hagiostigmacros McAreavey, 1957	McAreavey, 1957	Hagiostigmacros	Hagiostigmacros			genus		Mem. Natn. Mus. Vict. No. 21	synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Stigmacros
4673693	0938172b-2086-439c-a1dd-c21cb0109ed5	4342	1323038		Cyrtostigmacros McAreavey, 1957	McAreavey, 1957	Cyrtostigmacros	Cyrtostigmacros			genus		Mem. Natn. Mus. Vict. No. 21	synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Stigmacros
8491971	7ddf754f-d193-4cc9-b351-99906754a03b	4680446			Propalosoma gutierrezae Dlussky & Rasnitsyn, 1999	Dlussky & Rasnitsyn, 1999	Propalosoma gutierrezae	Propalosoma	gutierrezae		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Rhopalosomatidae	Propalosoma
3262347	0938172b-2086-439c-a1dd-c21cb0109ed5	9444	1367678		Rhachistus Förster, 1847	Förster, 1847	Rhachistus	Rhachistus			genus		Linnaea Entom., 2, 203 (as Rachistus).	synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Mymaridae	Gonatocerus
1258178	7ddf754f-d193-4cc9-b351-99906754a03b	1258130			Aspilota vernalis Stelfox & Graham, 1951	Stelfox & Graham, 1951	Aspilota vernalis	Aspilota	vernalis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Aspilota
8590153	c33ce2f2-c3cc-43a5-a380-fe4526d63650	4679108			Solenopsites minutus Dlussky & Rasnitsyn, 2002	Dlussky & Rasnitsyn, 2002	Solenopsites minutus	Solenopsites	minutus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Solenopsites
5044423	7ddf754f-d193-4cc9-b351-99906754a03b	1367678			Gonatocerus udakamundus Mani & Saraswat, 1973	Mani & Saraswat, 1973	Gonatocerus udakamundus	Gonatocerus	udakamundus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Mymaridae	Gonatocerus
1251682	7ddf754f-d193-4cc9-b351-99906754a03b	1251681			Hebichneutes tricolor Sharkey & Wharton, 1994	Sharkey & Wharton, 1994	Hebichneutes tricolor	Hebichneutes	tricolor		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Hebichneutes
5044340	7ddf754f-d193-4cc9-b351-99906754a03b	1367678			Gonatocerus devitatakus Mani & Saraswat, 1973	Mani & Saraswat, 1973	Gonatocerus devitatakus	Gonatocerus	devitatakus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Mymaridae	Gonatocerus
8691566	c33ce2f2-c3cc-43a5-a380-fe4526d63650	4679108			Solenopsites rossi Dlussky & Perfilieva, 2014	Dlussky & Perfilieva, 2014	Solenopsites rossi	Solenopsites	rossi		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Solenopsites
1254609	7ddf754f-d193-4cc9-b351-99906754a03b	1254607			Wroughtonia truncata Gupta & Sharma, 1976	Gupta & Sharma, 1976	Wroughtonia truncata	Wroughtonia	truncata		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Wroughtonia
8855261	6cfd67d6-4f9b-400b-8549-1933ac27936f	4678373			Stentorceps weedlei Neilson & Buffington, 2011	Neilson & Buffington, 2011	Stentorceps weedlei	Stentorceps	weedlei		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera		Stentorceps
5025765	7ddf754f-d193-4cc9-b351-99906754a03b	1272593			Stantonia maracapatana Braet & Quicke, 2004	Braet & Quicke, 2004	Stantonia maracapatana	Stantonia	maracapatana		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Stantonia
5025741	7ddf754f-d193-4cc9-b351-99906754a03b	1272593			Stantonia ngilima Braet & Quicke, 2004	Braet & Quicke, 2004	Stantonia ngilima	Stantonia	ngilima		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Stantonia
9633597	f9a091cb-1b60-4347-b8ea-01e97f5ea7d6	1254607			Wroughtonia alba Chou & Hsu, 1998	Chou & Hsu, 1998	Wroughtonia alba	Wroughtonia	alba		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Wroughtonia
5025729	7ddf754f-d193-4cc9-b351-99906754a03b	1272593			Stantonia carinata Braet & Quicke, 2004	Braet & Quicke, 2004	Stantonia carinata	Stantonia	carinata		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Stantonia
5025716	7ddf754f-d193-4cc9-b351-99906754a03b	1272593			Stantonia osa Braet & Quicke, 2004	Braet & Quicke, 2004	Stantonia osa	Stantonia	osa		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae	Stantonia
5047962	7ddf754f-d193-4cc9-b351-99906754a03b	1364589			Platygaster lyciicola Kieffer & Jörgensen, 1910	Kieffer & Jörgensen, 1910	Platygaster lyciicola	Platygaster	lyciicola		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Platygastridae	Platygaster
8481791	c33ce2f2-c3cc-43a5-a380-fe4526d63650	4679108			Solenopsites abdita LaPolla & Greenwalt, 2015	LaPolla & Greenwalt, 2015	Solenopsites abdita	Solenopsites	abdita		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Solenopsites
1358804	7ddf754f-d193-4cc9-b351-99906754a03b	9438			Sycophilomorpha Joseph & Abdurahiman, 1969	Joseph & Abdurahiman, 1969	Sycophilomorpha	Sycophilomorpha			genus		Orient. Insects 3	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Agaonidae	Sycophilomorpha
1358631	0938172b-2086-439c-a1dd-c21cb0109ed5	9438			Platyneura Motschoulsky, 1863	Motschoulsky, 1863	Platyneura	Platyneura			genus		Bull. Soc. Imp. Nat. Moscou, 36 (2)	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Agaonidae	Platyneura
1364456	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Baeocharis Mayr, 1876	Mayr, 1876	Baeocharis	Baeocharis			genus		Verh. Zool.-bot. Ges. Wien, 25, Abh., 685	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Baeocharis
1379695	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Hexacnemus Timberlake, 1926	Timberlake, 1926	Hexacnemus	Hexacnemus			genus		Proc. U.S. Nat. Mus., 69, art. 3	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Hexacnemus
1358727	7ddf754f-d193-4cc9-b351-99906754a03b	9438			Crossogaster Mayr, 1885	Mayr, 1885	Crossogaster	Crossogaster			genus		Verh. Zool.-bot. Ges. Wien, 35, Abh., 156	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Agaonidae	Crossogaster
4677846	0938172b-2086-439c-a1dd-c21cb0109ed5	7909			Obconohelorus Rasnitsyn, 1990	Rasnitsyn, 1990	Obconohelorus	Obconohelorus			genus		Tr Paleontol Inst Akad Nauk SSSR 239	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Heloridae	Obconohelorus
1378153	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Cyrtocoryphes Timberlake, 1926	Timberlake, 1926	Cyrtocoryphes	Cyrtocoryphes			genus		Proc. U.S. Nat. Mus., 69, art. 3	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Cyrtocoryphes
1375535	0938172b-2086-439c-a1dd-c21cb0109ed5	9440			Metacerapterocerus Ishii, 1928	Ishii, 1928	Metacerapterocerus	Metacerapterocerus			genus		Bull. Imp. agric. Exp. Sta. Japan, 3	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Metacerapterocerus
1359399	7ddf754f-d193-4cc9-b351-99906754a03b	9438			Agaon Dalman, 1818	Dalman, 1818	Agaon	Agaon			genus		K. Vet. Ac. Handl. Stockh., 1818 (1)	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Agaonidae	Agaon
1377217	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Clausenia Ishii, 1923	Ishii, 1923	Clausenia	Clausenia			genus		Bull. Imp. Pl. Quar. Sta. Japan, 3	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Clausenia
1377803	0938172b-2086-439c-a1dd-c21cb0109ed5	9440			Aztecencyrtus Timberlake, 1926	Timberlake, 1926	Aztecencyrtus	Aztecencyrtus			genus		Proc. U.S. Nat. Mus., 69, art. 3	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Aztecencyrtus
4674872	0938172b-2086-439c-a1dd-c21cb0109ed5	9440			Callacnemus Prinsloo, 1981	Prinsloo, 1981	Callacnemus	Callacnemus			genus		Publikasies Univ. Pretoria (N. R.) No. 165	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Callacnemus
1374122	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Brachyencyrtus Hoffer, 1959	Hoffer, 1959	Brachyencyrtus	Brachyencyrtus			genus		Sb. Ent. Odd. nár. Mus. Praze 33	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Brachyencyrtus
1359289	7ddf754f-d193-4cc9-b351-99906754a03b	9438			Grasseiana Abdurahiman & Joseph, 1968	Abdurahiman & Joseph, 1968	Grasseiana	Grasseiana			genus		Orient. Insects 1	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Agaonidae	Grasseiana
1376062	0938172b-2086-439c-a1dd-c21cb0109ed5	9440			Xyphigaster Risbec, 1954	Risbec, 1954	Xyphigaster	Xyphigaster			genus		Bull. Inst. franç. Afr. noire, (A) 16,	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Xyphigaster
1374184	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Tachardiobius Timberlake, 1926	Timberlake, 1926	Tachardiobius	Tachardiobius			genus		Proc. U.S. Nat. Mus., 69, art. 3	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Tachardiobius
1373708	0938172b-2086-439c-a1dd-c21cb0109ed5	9440			Euryrhopalus Howard, 1898	Howard, 1898	Euryrhopalus	Euryrhopalus			genus		Proc. U.S. Nat. Mus., 21, no. 1142	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Euryrhopalus
4674185	0938172b-2086-439c-a1dd-c21cb0109ed5	9440			Rubrencyrtus Prinsloo, 1981	Prinsloo, 1981	Rubrencyrtus	Rubrencyrtus			genus		Publikasies Univ. Pretoria (N. R.) No. 165	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Rubrencyrtus
1379206	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Vosleria Timberlake, 1926	Timberlake, 1926	Vosleria	Vosleria			genus		Proc. U.S. Nat. Mus., 69, art. 3	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Vosleria
1358721	7ddf754f-d193-4cc9-b351-99906754a03b	9438			Paragaon Joseph, 1959	Joseph, 1959	Paragaon	Paragaon			genus		Proc. R. Ent. Soc. Lond. (B) 28	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Agaonidae	Paragaon
1358868	0938172b-2086-439c-a1dd-c21cb0109ed5	9438			Ganosoma Mayr, 1885	Mayr, 1885	Ganosoma	Ganosoma			genus		Verh. Zool.-bot. Ges. Wien, 35, Abh., 160	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Agaonidae	Ganosoma
1375687	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Lombitsikala Risbec, 1958	Risbec, 1958	Lombitsikala	Lombitsikala			genus		Revue Path. vég. Ent. agric. Fr. 36	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Lombitsikala
1379685	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Cercobelus Walker, 1842	Walker, 1842	Cercobelus	Cercobelus			genus		Entomologist, 1, vi, expl. to pl. N.	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Cercobelus
4672202	0938172b-2086-439c-a1dd-c21cb0109ed5	7909			Conohelorus Rasnitsyn, 1990	Rasnitsyn, 1990	Conohelorus	Conohelorus			genus		Tr Paleontol Inst Akad Nauk SSSR 239	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Heloridae	Conohelorus
1374523	0938172b-2086-439c-a1dd-c21cb0109ed5	9440			Sophencyrtus Crawford, 1911	Crawford, 1911	Sophencyrtus	Sophencyrtus			genus		Proc. U.S. Nat. Mus., 4, no. 1855	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Sophencyrtus
1373684	0938172b-2086-439c-a1dd-c21cb0109ed5	9440			Coccophoctonus Ashmead, 1900	Ashmead, 1900	Coccophoctonus	Coccophoctonus			genus		Proc. U.S. Nat. Mus., 22, 337, 344	doubtful			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Coccophoctonus
1375767	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Aphidencyrtoides Ishii, 1928	Ishii, 1928	Aphidencyrtoides	Aphidencyrtoides			genus		Bull. Imp. agric. Exp. Sta. Japan, 3	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Aphidencyrtoides
1378085	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Mayrencyrtus Hincks, 1944	Hincks, 1944	Mayrencyrtus	Mayrencyrtus			genus		Proc. R. Ent. Soc. Lond., (B) 13	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Mayrencyrtus
1377955	7ddf754f-d193-4cc9-b351-99906754a03b	9440			Pseudorhopus Timberlake, 1926	Timberlake, 1926	Pseudorhopus	Pseudorhopus			genus		Proc. U.S. Nat. Mus., 69, art. 3	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Encyrtidae	Pseudorhopus
1359352	7ddf754f-d193-4cc9-b351-99906754a03b	9438			Aepocerus Mayr, 1885	Mayr, 1885	Aepocerus	Aepocerus			genus		Verh. Zool.-bot. Ges. Wien, 35, Abh., 157	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Agaonidae	Aepocerus
